,매장이름,매장주소
0,가산디지털단지역점,서울시 금천구 가산동 60-3 
1,강남구청점,서울 강남구 청담동 45-4
2,강남역사거리점,서울특별시 강남구 역삼동 820-10
3,강남역점,서울 강남구 역삼동822-7
4,강남점,"서울 강남구 테헤란로4길 46 (역삼동 826-37) 쌍용 플래티넘, 1층"
5,강남효성점,서울 강남구 역삼동 825-24
6,강동역점,서울 강동구 천호동 447
7,거여역점,서울특별시 송파구 거여동 37-6
8,건대역점,서울 광진구 아차산로 221 (화양동 7-4)
9,경희대점,서울 동대문구 경희대로4길 1
10,광명하안점,광명시 하안동 36-2
11,교대사거리점,서울 서초구 서초동 1598-1
12,교대역점,서울 서초구 반포대로30길 82
13,교대점,"서울 서초구 서초대로54길 27, 1층"
14,구로비즈메트로점,서울시 구로구 구로동 851번지 한화비즈메트로1차 109호
15,구로지플러스점,서울시 구로구 구로동 222-31
16,국기원사거리점,서울 강남구 테헤란로8길 26 (역삼동827-48)
17,길동역점,서울 강동구 양재대로 1490 (길동 366-5)
18,낙성대역점,서울시 관악구 봉천동 1658-19 
19,남부터미널점,서울 서초구 효령로57길 1
20,대치선릉점,서울특별시 강남구 대치동 890-45	
21,대치역점,서울 강남구 대치동 507
22,대치은마점,"서울 강남구 도곡로 451 (대치동 941-22) 한나빌딩, 1층"
23,대치점,"서울 강남구 테헤란로 84길 14 (대치동 942-19), 1층"
24,대치포스코점,"서울 강남구 테헤란로78길 16 (대치동 891-44) 노벨빌딩 증축동, 1층/2층"
25,도곡역점,서울특별시 강남구 남부순환로 2909 여천빌딩
26,독도점,경상북도 울릉군 울릉읍 독도리 산 1-96
27,뚝섬역점,서울시 성동구 성수동1가 13-164
28,마곡나루역점,서울시 강서구 마곡동 760-1
29,무교점,서울특별시 중구 다동 155
30,문정역점,"서울 송파구 법원로128 (문정동642-3, SKV1빌딩 1층)"
31,미아사거리역점,서울시 강북구 미아동 60-5
32,방배역점,서울시 서초구 방배동 909-8
33,보라매역점,서울시 동작구 대방동 400-3
34,사당역점,서울 서초구 방배동444-15
35,삼성점,서울특별시 강남구 삼성동 157-4 1층
36,삼성중앙역점,서울 강남구 삼성동 51-2 1층
37,삼성타운점,서울 서초구 서초대로78길 26 (서초동1327-7)
38,상암DMC점,서울 마포구 상암동 1605
39,서초법원점,"서울시 서초구 서초동 1554-5 아스트라 101호, 102호"
40,서초위브점,서울 서초구 서초동 1362
41,서초점,"서울 서초구 서초대로 254 B105호 (서초동, 오퓨런스)"
42,선릉공원점,서울 강남구 삼성동 142-46
43,선릉역사거리점,서울 강남구 역삼동 705-19
44,선릉역점,서울 강남구 테헤란로51길 7 (역삼동702-30)
45,선릉위워크점,서울특별시 강남구 대치동 889-41
46,선릉점,"서울 강남구 언주로 98길 26 (역삼동 700-35), 1층"
47,선정릉점,"서울 강남구 선릉로 577 (역삼동 682-20) POS TOWER, 1층"
48,세관사거리점,서울 강남구 언주로 702 (논현동115-13)
49,수내역점,주소 경기 성남시 분당구 수내로46번길 26
50,서초위브점,서울 서초구 서초동 1362
51,서초점,"서울 서초구 서초대로 254 B105호 (서초동, 오퓨런스)"
52,선릉공원점,서울 강남구 삼성동 142-46
53,선릉역사거리점,서울 강남구 역삼동 705-19
54,선릉역점,서울 강남구 테헤란로51길 7 (역삼동702-30)
55,선릉위워크점,서울특별시 강남구 대치동 889-41
56,선릉점,"서울 강남구 언주로 98길 26 (역삼동 700-35), 1층"
57,선정릉점,"서울 강남구 선릉로 577 (역삼동 682-20) POS TOWER, 1층"
58,세관사거리점,서울 강남구 언주로 702 (논현동115-13)
59,수내역점,주소 경기 성남시 분당구 수내로46번길 26
60,역삼삼보점,서울특별시 강남구 역삼동 647-13
61,역삼시티점,서울 강남구 논현로85길 52 B102호
62,역삼역점,"서울 강남구 강남대로 94길 95 (역삼동 644-19), 1층"
63,역삼초교사거리점,서울 강남구 역삼동829-17
64,역삼GFC점,"서울 강남구 테헤란로26길 10 (역삼동 736-55) 성보빌딩, 1층"
65,역삼GS점,서울 강남구 논현로 94길 13
66,을지병원사거리점,서울 강남구 논현동6-21
67,이대점,서울 마포구 대현동 56-74
68,이수역점,서울 동작구 사당동 134-3
69,잠실새내점,서울 송파구 석촌호수로 64 (잠실동 208-16)
70,종로구청점,서울특별시 종로구 종로3길 38
71,청진타워8점,서울시 종로구 청진동 128
72,테헤란로점,서울 강남구 역삼동 718-2
73,통일점,평양시 천리마대로 1
74,파인에비뉴점,서울시 중구 을지로2가 203
75,판교하이펙스점,경기 성남시 분당구 판교역로 230 HIPEX 지하1층 117호
76,페럼타워점,서울특별시 중구 수하동 66
77,포스코사거리점,서울 강남구 테헤란로 447
78,포이사거리점,서울시 서초구 양재동 276-6
79,학동역점,서울 강남구 논현동 87-5
80,한티역점,"서울 강남구 선릉로311, 한티빌딩 1층"
81,합정역점,서울 마포구 양화로 72
82,회기역사거리점,서울 동대문구 회기로 176 (회기동81)
83,AK금정점,경기도 군포시 금정동 689번지 AK플라자 금정점 2층
84,교육개발원사거리점,
