,매장주소,위도,경도
0,서울시 금천구 가산동 60-3 ,37.4809568,126.8863566
1,서울 강남구 청담동 45-4,37.5183881,127.0466174
2,서울특별시 강남구 역삼동 820-10,37.498857,127.0277168
3,서울 강남구 역삼동822-7,37.4989394,127.0295195
4,"서울 강남구 테헤란로4길 46 (역삼동 826-37) 쌍용 플래티넘, 1층",37.5122834,127.0517546
5,서울 강남구 역삼동 825-24,37.4968317,127.0298284
6,서울 강동구 천호동 447,37.53569239999999,127.1340676
7,서울특별시 송파구 거여동 37-6,37.4933264,127.1449258
8,서울 광진구 아차산로 221 (화양동 7-4),37.5410367,127.0682748
9,서울 동대문구 경희대로4길 1,37.5925757,127.0526923
10,광명시 하안동 36-2,37.461994,126.8793606
11,서울 서초구 서초동 1598-1,37.4880381,127.0142335
12,서울 서초구 반포대로30길 82,37.4925175,127.0129691
13,"서울 서초구 서초대로54길 27, 1층",37.4930009,127.0162682
14,서울시 구로구 구로동 851번지 한화비즈메트로1차 109호,37.48065,126.893436
15,서울시 구로구 구로동 222-31,37.482941,126.8977956
16,서울 강남구 테헤란로8길 26 (역삼동827-48),37.4971562,127.031706
17,서울 강동구 양재대로 1490 (길동 366-5),37.53877689999999,127.1406356
18,서울시 관악구 봉천동 1658-19 ,37.4763549,126.9644974
19,서울 서초구 효령로57길 1,37.4852812,127.0168625
20,서울특별시 강남구 대치동 890-45	,37.5040758,127.0526614
21,서울 강남구 대치동 507,37.4933099,127.0619031
22,"서울 강남구 도곡로 451 (대치동 941-22) 한나빌딩, 1층",37.4988468,127.0597359
23,"서울 강남구 테헤란로 84길 14 (대치동 942-19), 1층",37.5062159,127.0584174
24,"서울 강남구 테헤란로78길 16 (대치동 891-44) 노벨빌딩 증축동, 1층/2층",37.5050626,127.0553827
25,서울특별시 강남구 남부순환로 2909 여천빌딩,37.4921842,127.0574083
26,경상북도 울릉군 울릉읍 독도리 산 1-96,37.2439666,131.8597232
27,서울시 성동구 성수동1가 13-164,37.5473896,127.0499057
28,서울시 강서구 마곡동 760-1,37.5764888,126.8307466
29,서울특별시 중구 다동 155,37.5671953,126.9806564
30,"서울 송파구 법원로128 (문정동642-3, SKV1빌딩 1층)",37.4885555,127.1337028
31,서울시 강북구 미아동 60-5,37.6130947,127.0295953
32,서울시 서초구 방배동 909-8,37.4814265,126.9969295
33,서울시 동작구 대방동 400-3,37.4994316,126.9206107
34,서울 서초구 방배동444-15,37.4781901,126.9820882
35,서울특별시 강남구 삼성동 157-4 1층,37.5077871,127.0569216
36,서울 강남구 삼성동 51-2 1층,37.5131034,127.0527679
37,서울 서초구 서초대로78길 26 (서초동1327-7),37.495357,127.0277904
38,서울 마포구 상암동 1605,37.5791192,126.8902941
