,매출액(억원),영업이익(억원),당기순이익(억원),영업이익률(%),순이익률(%),ROE(%),부채비율(%),당좌비율(%),유보율(%),EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당율(%),배당성향(%),회사명
2019.12,2304009.0,277685.0,217389.0,12.05,9.44,8.69,34.12,233.57,28856.02,3166.0,17.63,37528.0,1.49,1416.0,2.54,44.73,삼성전자
2020.12,2368070.0,359939.0,264078.0,15.2,11.15,9.98,37.07,214.82,30692.79,3841.0,21.09,39406.0,2.06,2994.0,3.7,77.95,삼성전자
2021.12,2796048.0,516339.0,399074.0,18.47,14.27,13.92,39.92,196.75,33143.62,5777.0,13.55,43611.0,1.8,1444.0,1.84,25.0,삼성전자
2022.12(E),3118321.0,500731.0,393559.0,16.06,12.62,12.39,,,,5707.0,9.86,48545.0,1.16,1539.0,,,삼성전자
Unnamed: 1_level_1,,,,,,,,,,,,,,,,,LG에너지솔루션
2020.12,14611,-4752,-4518,-32.52,-30.92,,163.59,82.50,6778.41,-2278,,34398,-,,,-,LG에너지솔루션
2021.12,178519,7685,9299,4.30,5.21,10.68,171.83,59.53,7460.02,3963,,39831,-,,,,LG에너지솔루션
2022.12(E),226173.0,13275.0,10386.0,5.87,4.59,7.58,,,,4184.0,114.25,75435.0,6.34,29.0,,,LG에너지솔루션
2019.12,269907.0,27192.0,20091.0,10.07,7.44,4.23,36.12,96.91,1286.81,2755.0,34.15,70060.0,1.34,1000.0,1.06,34.1,SK하이닉스
2020.12,319004.0,50126.0,47589.0,15.71,14.92,9.53,37.11,97.5,1398.15,6532.0,18.14,75860.0,1.56,1170.0,0.99,16.83,SK하이닉스
2021.12,429978.0,124103.0,96162.0,28.86,22.36,16.84,54.98,99.92,1643.64,13190.0,9.93,90394.0,1.45,1540.0,1.18,11.03,SK하이닉스
2022.12(E),499222.0,105962.0,76220.0,21.22,15.27,11.57,,,,10418.0,8.63,100302.0,0.9,1510.0,,,SK하이닉스
2019.12,7016,917,496,13.08,7.07,1.44,39.69,97.46,1564.97,741,577.28,40885,10.47,-,-,-,삼성바이오로직스
2020.12,11648,2928,2410,25.14,20.69,,39.69,97.99,2684.75,3599,226.84,68678,11.89,-,-,-,삼성바이오로직스
2021.12,15680,5373,3936,34.27,25.10,8.21,59.68,80.95,2922.69,5878,151.83,74537,11.97,,,-,삼성바이오로직스
2022.12(E),24125,7355,5670,30.48,23.50,9.52,,,,8137,99.80,97774,8.30,-,,,삼성바이오로직스
2019.12,2304009.0,277685.0,217389.0,12.05,9.44,8.69,34.12,233.57,28856.02,3166.0,17.63,37528.0,1.49,1417.0,3.12,44.73,삼성전자우
2020.12,2368070.0,359939.0,264078.0,15.2,11.15,9.98,37.07,214.82,30692.79,3841.0,21.09,39406.0,2.06,2995.0,4.07,77.95,삼성전자우
2021.12,2796048.0,516339.0,399074.0,18.47,14.27,13.92,39.92,196.75,33143.62,5777.0,13.55,43611.0,1.8,1445.0,2.03,25.0,삼성전자우
2022.12(E),3118321.0,500731.0,393559.0,16.06,12.62,12.39,,,,5707.0,9.86,48545.0,1.16,1539.0,,,삼성전자우
2019.12,273531.0,8254.0,3761.0,3.02,1.38,1.84,95.73,76.23,4362.05,4003.0,79.31,221961.0,1.43,2000.0,0.63,49.02,LG화학
2020.12,300589.0,18054.0,6824.0,6.01,2.27,2.93,120.27,80.65,4565.03,6549.0,125.83,231866.0,3.55,10000.0,1.21,151.84,LG화학
2021.12,426547.0,50255.0,39539.0,11.78,9.27,18.47,120.32,80.5,5311.19,46880.0,13.12,278455.0,2.21,12000.0,1.95,25.49,LG화학
2022.12(E),518703.0,36787.0,27522.0,7.09,5.31,9.5,,,,31889.0,18.28,395950.0,1.47,10753.0,,,LG화학
2019.12,100974.0,4622.0,4024.0,4.58,3.98,2.94,56.81,91.58,3338.5,5066.0,46.59,184305.0,1.28,1000.0,0.42,18.78,삼성SDI
2020.12,112948.0,6713.0,6310.0,5.94,5.59,4.54,61.2,76.87,3481.82,8166.0,76.91,194065.0,3.24,1000.0,0.16,11.65,삼성SDI
2021.12,135532.0,10676.0,12504.0,7.88,9.23,8.45,69.99,76.72,3789.74,16621.0,39.41,219885.0,2.98,1000.0,0.15,5.72,삼성SDI
2022.12(E),198320.0,17468.0,17683.0,8.81,8.92,10.83,,,,24041.0,24.33,247242.0,2.37,1006.0,,,삼성SDI
2019.12,1057464.0,36055.0,31856.0,3.41,3.01,4.32,154.71,46.57,4865.48,10761.0,11.2,267549.0,0.45,4000.0,3.32,35.35,현대차
2020.12,1039976.0,23947.0,19246.0,2.3,1.85,2.04,174.22,44.87,4909.48,5144.0,37.33,266968.0,0.72,3000.0,1.56,55.15,현대차
2021.12,1176106.0,66789.0,56931.0,5.68,4.84,6.84,183.17,45.68,5187.27,17846.0,11.71,289609.0,0.72,5000.0,2.39,26.32,현대차
2022.12(E),1374736.0,105945.0,97720.0,7.71,7.11,11.23,,,,32066.0,5.55,322659.0,0.55,5322.0,,,현대차
2019.12,581460.0,20097.0,18267.0,3.46,3.14,6.5,90.99,68.09,1298.17,4506.0,9.83,72277.0,0.61,1150.0,2.6,25.24,기아
2020.12,591681.0,20665.0,14876.0,3.49,2.51,5.05,102.37,82.27,1350.39,3670.0,17.0,74556.0,0.84,1000.0,1.6,26.95,기아
